x,y,value
3375829.2,4230423.5,0.0
3380829.2,4230423.5,0.0
3385829.2,4230423.5,0.0
3390829.2,4230423.5,0.0
3395829.2,4230423.5,0.0
3400829.2,4230423.5,0.0
3405829.2,4230423.5,0.0
3410829.2,4230423.5,0.0
3415829.2,4230423.5,0.0
3420829.2,4230423.5,0.0
3425829.2,4230423.5,0.0
3430829.2,4230423.5,0.0
3435829.2,4230423.5,0.0
3440829.2,4230423.5,0.0
3445829.2,4230423.5,0.0
3450829.2,4230423.5,0.0
3455829.2,4230423.5,0.0
3460829.2,4230423.5,0.0
3465829.2,4230423.5,0.0
3470829.2,4230423.5,0.0
3475829.2,4230423.5,0.0
3480829.2,4230423.5,-0.002147436
3485829.2,4230423.5,0.0
3490829.2,4230423.5,0.0
3495829.2,4230423.5,0.0
3500829.2,4230423.5,0.0
3505829.2,4230423.5,0.0
3510829.2,4230423.5,0.0
3515829.2,4230423.5,0.0
3520829.2,4230423.5,0.0
3525829.2,4230423.5,0.0
3530829.2,4230423.5,0.0
3535829.2,4230423.5,0.0
3540829.2,4230423.5,0.0
3545829.2,4230423.5,0.0
3550829.2,4230423.5,0.0
3555829.2,4230423.5,0.0
3560829.2,4230423.5,0.0
3565829.2,4230423.5,0.0
3570829.2,4230423.5,0.0
3575829.2,4230423.5,0.0
3580829.2,4230423.5,0.0
3585829.2,4230423.5,0.0
3590829.2,4230423.5,0.0
3595829.2,4230423.5,0.0
3600829.2,4230423.5,0.0
3605829.2,4230423.5,0.0
3610829.2,4230423.5,0.0
3615829.2,4230423.5,0.0
3620829.2,4230423.5,0.0
3625829.2,4230423.5,0.0
3630829.2,4230423.5,0.0
3635829.2,4230423.5,0.0
3640829.2,4230423.5,0.0
3645829.2,4230423.5,0.0
3650829.2,4230423.5,0.0
3655829.2,4230423.5,0.0
3660829.2,4230423.5,0.0
3665829.2,4230423.5,0.0
3670829.2,4230423.5,0.0
3675829.2,4230423.5,0.0
3680829.2,4230423.5,0.0
3685829.2,4230423.5,0.0
3690829.2,4230423.5,0.0
3695829.2,4230423.5,0.0
3700829.2,4230423.5,0.0
3705829.2,4230423.5,0.0
3710829.2,4230423.5,0.0
3715829.2,4230423.5,0.0
3720829.2,4230423.5,0.0
3725829.2,4230423.5,0.0
3730829.2,4230423.5,0.0
3735829.2,4230423.5,0.0
3740829.2,4230423.5,0.0
3745829.2,4230423.5,0.0
3750829.2,4230423.5,0.0
3755829.2,4230423.5,0.0
3760829.2,4230423.5,0.0
3765829.2,4230423.5,0.0
3770829.2,4230423.5,0.0
3775829.2,4230423.5,0.0
3780829.2,4230423.5,0.0
3785829.2,4230423.5,0.0
3790829.2,4230423.5,0.0
3795829.2,4230423.5,0.0
3800829.2,4230423.5,0.0
3805829.2,4230423.5,0.0
3810829.2,4230423.5,0.0
3815829.2,4230423.5,0.0
3820829.2,4230423.5,0.0
3825829.2,4230423.5,0.0
3830829.2,4230423.5,0.0
3835829.2,4230423.5,0.0
3840829.2,4230423.5,0.0
3845829.2,4230423.5,0.0
3850829.2,4230423.5,0.0
3855829.2,4230423.5,0.0
3860829.2,4230423.5,0.0
3865829.2,4230423.5,0.0
3870829.2,4230423.5,0.0
3875829.2,4230423.5,0.0
3880829.2,4230423.5,0.0
3885829.2,4230423.5,0.0
3890829.2,4230423.5,0.0
3895829.2,4230423.5,0.0
3900829.2,4230423.5,0.0
3905829.2,4230423.5,0.0
3910829.2,4230423.5,0.0
3915829.2,4230423.5,0.0
3920829.2,4230423.5,0.0
3925829.2,4230423.5,0.0
3930829.2,4230423.5,0.0
3935829.2,4230423.5,0.0
3940829.2,4230423.5,0.0
3945829.2,4230423.5,0.0
3950829.2,4230423.5,0.0
3955829.2,4230423.5,0.0
3960829.2,4230423.5,0.0
3965829.2,4230423.5,0.0
3970829.2,4230423.5,0.0
3975829.2,4230423.5,0.0
3980829.2,4230423.5,0.0
3985829.2,4230423.5,0.0
3990829.2,4230423.5,0.0
3995829.2,4230423.5,0.0
4000829.2,4230423.5,0.0
4005829.2,4230423.5,0.0
4010829.2,4230423.5,0.0
4015829.2,4230423.5,0.0
4020829.2,4230423.5,0.0
4025829.2,4230423.5,0.0
4030829.2,4230423.5,0.0
4035829.2,4230423.5,0.0
4040829.2,4230423.5,0.0
4045829.2,4230423.5,0.0
4050829.2,4230423.5,0.0
4055829.2,4230423.5,0.0
4060829.2,4230423.5,0.0
4065829.2,4230423.5,0.0
4070829.2,4230423.5,0.0
4075829.2,4230423.5,0.0
4080829.2,4230423.5,0.0
4085829.2,4230423.5,0.0
4090829.2,4230423.5,0.0
4095829.2,4230423.5,0.0
4100829.2,4230423.5,0.0
4105829.2,4230423.5,0.0
4110829.2,4230423.5,0.0
4115829.2,4230423.5,0.0
4120829.2,4230423.5,0.0
4125829.2,4230423.5,0.0
4130829.2,4230423.5,0.0
4135829.2,4230423.5,0.0
4140829.2,4230423.5,0.0
4145829.2,4230423.5,0.0
4150829.2,4230423.5,0.0
4155829.2,4230423.5,0.0
4160829.2,4230423.5,0.0
4165829.2,4230423.5,0.0
4170829.2,4230423.5,0.0
4175829.2,4230423.5,0.0
4180829.2,4230423.5,0.0
4185829.2,4230423.5,0.0
4190829.2,4230423.5,0.0
4195829.0,4230423.5,0.0
4200829.0,4230423.5,0.0
4205829.0,4230423.5,0.0
4210829.0,4230423.5,0.0
4215829.0,4230423.5,0.0
4220829.0,4230423.5,0.0
4225829.0,4230423.5,0.0
4230829.0,4230423.5,0.0
4235829.0,4230423.5,0.0
4240829.0,4230423.5,0.0
4245829.0,4230423.5,0.0
4250829.0,4230423.5,0.0
4255829.0,4230423.5,0.0
4260829.0,4230423.5,0.0
4265829.0,4230423.5,0.0
4270829.0,4230423.5,0.0
4275829.0,4230423.5,0.0
4280829.0,4230423.5,0.0
4285829.0,4230423.5,0.0
4290829.0,4230423.5,0.0
4295829.0,4230423.5,0.0
4300829.0,4230423.5,0.0
4305829.0,4230423.5,0.0
4310829.0,4230423.5,0.0
4315829.0,4230423.5,0.0
4320829.0,4230423.5,0.0
4325829.0,4230423.5,0.0
4330829.0,4230423.5,0.0
4335829.0,4230423.5,0.0
4340829.0,4230423.5,0.0
4345829.0,4230423.5,0.0
3375829.2,4225423.5,0.0
3380829.2,4225423.5,0.0
3385829.2,4225423.5,0.0
3390829.2,4225423.5,0.0
3395829.2,4225423.5,0.0
3400829.2,4225423.5,0.0
3405829.2,4225423.5,0.0
3410829.2,4225423.5,0.0
3415829.2,4225423.5,0.0
3420829.2,4225423.5,0.0
3425829.2,4225423.5,0.0
3430829.2,4225423.5,0.0
3435829.2,4225423.5,0.0
3440829.2,4225423.5,0.0
3445829.2,4225423.5,0.0
3450829.2,4225423.5,0.0
3455829.2,4225423.5,0.0
3460829.2,4225423.5,0.0
3465829.2,4225423.5,0.0
3470829.2,4225423.5,0.0
3475829.2,4225423.5,-0.0039369664
3480829.2,4225423.5,-0.0035790603
3485829.2,4225423.5,-0.0014316239
3490829.2,4225423.5,0.0
3495829.2,4225423.5,-7.1581197E-4
3500829.2,4225423.5,-1.3240298
3505829.2,4225423.5,-1.3276088
3510829.2,4225423.5,-1.3293984
3515829.2,4225423.5,-1.3243877
3520829.2,4225423.5,-1.3254614
3525829.2,4225423.5,-1.3297563
3530829.2,4225423.5,-1.3240298
3535829.2,4225423.5,-1.327251
3540829.2,4225423.5,-0.0032211544
3545829.2,4225423.5,0.0
3550829.2,4225423.5,0.0
3555829.2,4225423.5,0.0
3560829.2,4225423.5,0.0
3565829.2,4225423.5,0.0
3570829.2,4225423.5,0.0
3575829.2,4225423.5,0.0
3580829.2,4225423.5,0.0
3585829.2,4225423.5,0.0414604
3590829.2,4225423.5,0.0414604
3595829.2,4225423.5,0.0414604
3600829.2,4225423.5,0.0414604
3605829.2,4225423.5,0.0414604
3610829.2,4225423.5,0.0414604
3615829.2,4225423.5,0.0414604
3620829.2,4225423.5,0.0414604
3625829.2,4225423.5,-0.9207621
3630829.2,4225423.5,-0.9207621
3635829.2,4225423.5,-0.9207621
3640829.2,4225423.5,-0.9207621
3645829.2,4225423.5,-0.9207621
3650829.2,4225423.5,-0.9207621
3655829.2,4225423.5,-0.9207621
3660829.2,4225423.5,-0.9207621
3665829.2,4225423.5,-0.9207621
3670829.2,4225423.5,-0.018387098
3675829.2,4225423.5,-0.018387098
3680829.2,4225423.5,-0.018387098
3685829.2,4225423.5,-0.018387098
3690829.2,4225423.5,-0.018387098
3695829.2,4225423.5,-0.018387098
3700829.2,4225423.5,-0.018387098
3705829.2,4225423.5,-0.018387098
3710829.2,4225423.5,-0.8952012
3715829.2,4225423.5,-0.8952012
3720829.2,4225423.5,-0.8952012
3725829.2,4225423.5,-0.8952012
3730829.2,4225423.5,-0.8952012
3735829.2,4225423.5,-0.8952012
3740829.2,4225423.5,-0.8952012
3745829.2,4225423.5,-0.8952012
3750829.2,4225423.5,-0.8952012
3755829.2,4225423.5,-0.8210037
3760829.2,4225423.5,-0.8210037
3765829.2,4225423.5,-0.8210037
3770829.2,4225423.5,-0.8210037
3775829.2,4225423.5,-0.8210037
3780829.2,4225423.5,-0.8210037
3785829.2,4225423.5,-0.8210037
3790829.2,4225423.5,-0.8210037
3795829.2,4225423.5,-0.85687524
3800829.2,4225423.5,-0.85687524
3805829.2,4225423.5,-0.85687524
3810829.2,4225423.5,-0.85687524
3815829.2,4225423.5,-0.85687524
3820829.2,4225423.5,-0.85687524
3825829.2,4225423.5,-0.85687524
3830829.2,4225423.5,-0.85687524
3835829.2,4225423.5,-0.85687524
3840829.2,4225423.5,-0.8323591
3845829.2,4225423.5,-0.8323591
3850829.2,4225423.5,-0.8323591
3855829.2,4225423.5,-0.8323591
3860829.2,4225423.5,-0.8323591
3865829.2,4225423.5,-0.8323591
3870829.2,4225423.5,-0.8323591
3875829.2,4225423.5,-0.8323591
3880829.2,4225423.5,0.0
3885829.2,4225423.5,0.0
3890829.2,4225423.5,0.0
3895829.2,4225423.5,0.0
3900829.2,4225423.5,0.0
3905829.2,4225423.5,0.0
3910829.2,4225423.5,0.0
3915829.2,4225423.5,0.0
3920829.2,4225423.5,0.0
3925829.2,4225423.5,0.0
3930829.2,4225423.5,0.0
3935829.2,4225423.5,0.0
3940829.2,4225423.5,0.0
3945829.2,4225423.5,0.0
3950829.2,4225423.5,0.0
3955829.2,4225423.5,0.0
3960829.2,4225423.5,0.0
3965829.2,4225423.5,0.0
3970829.2,4225423.5,0.0
3975829.2,4225423.5,0.0
3980829.2,4225423.5,0.0
3985829.2,4225423.5,0.0
3990829.2,4225423.5,0.0
3995829.2,4225423.5,0.0
4000829.2,4225423.5,0.0
4005829.2,4225423.5,0.0
4010829.2,4225423.5,0.0
4015829.2,4225423.5,0.0
4020829.2,4225423.5,0.0
4025829.2,4225423.5,0.0
4030829.2,4225423.5,0.0
4035829.2,4225423.5,0.0
4040829.2,4225423.5,0.0
4045829.2,4225423.5,0.0
4050829.2,4225423.5,0.0
4055829.2,4225423.5,0.0
4060829.2,4225423.5,0.0
4065829.2,4225423.5,0.0
4070829.2,4225423.5,0.0
4075829.2,4225423.5,0.0
4080829.2,4225423.5,0.0
4085829.2,4225423.5,0.0
4090829.2,4225423.5,0.0
4095829.2,4225423.5,0.0
4100829.2,4225423.5,0.0
4105829.2,4225423.5,0.0
4110829.2,4225423.5,0.0
4115829.2,4225423.5,0.0
4120829.2,4225423.5,0.0
4125829.2,4225423.5,0.0
4130829.2,4225423.5,0.0
4135829.2,4225423.5,0.0
4140829.2,4225423.5,0.0
4145829.2,4225423.5,0.0
4150829.2,4225423.5,0.0
4155829.2,4225423.5,0.0
4160829.2,4225423.5,0.0
4165829.2,4225423.5,0.0
4170829.2,4225423.5,0.0
4175829.2,4225423.5,0.0
4180829.2,4225423.5,0.0
4185829.2,4225423.5,0.0
4190829.2,4225423.5,0.0
4195829.0,4225423.5,0.0
4200829.0,4225423.5,0.0
4205829.0,4225423.5,0.0
4210829.0,4225423.5,0.0
4215829.0,4225423.5,0.0
4220829.0,4225423.5,0.0
4225829.0,4225423.5,0.0
4230829.0,4225423.5,0.0
4235829.0,4225423.5,0.0
4240829.0,4225423.5,0.0
4245829.0,4225423.5,0.0
4250829.0,4225423.5,0.0
4255829.0,4225423.5,0.0
4260829.0,4225423.5,0.0
4265829.0,4225423.5,0.0
4270829.0,4225423.5,0.0
4275829.0,4225423.5,0.0
4280829.0,4225423.5,0.0
4285829.0,4225423.5,0.0
4290829.0,4225423.5,0.0
4295829.0,4225423.5,0.0
4300829.0,4225423.5,0.0
4305829.0,4225423.5,0.0
4310829.0,4225423.5,0.0
4315829.0,4225423.5,0.0
4320829.0,4225423.5,0.0
4325829.0,4225423.5,0.0
4330829.0,4225423.5,0.0
4335829.0,4225423.5,0.0
4340829.0,4225423.5,0.0
