Mapping parameters for Megaptera novaeangliae (humpback whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 4984)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Megaptera,novaeangliae,-68.25,-90.25,5609:380:1,3965,-1.17816197872162,0.197631999850273,33.3313102722168,34.7073097229004,2.19999998807907,0.374300986528397,218.426177978516,76
Megaptera,novaeangliae,-68.25,-178.75,5617:488:2,2856,-1.56070101261139,0.114559002220631,33.9635391235352,34.6924438476563,1.28399999812245,0.605406999588013,246.452133178711,543
Megaptera,novaeangliae,-68.25,-179.75,5617:489:2,2385,-1.55925405025482,0.199329003691673,33.964958190918,34.7012329101563,1.24899996444583,0.609806001186371,246.189758300781,515
Megaptera,novaeangliae,-67.75,80.75,3608:370:4,268,-1.58293700218201,-1.28627502918243,33.5936470031738,34.5573348999023,8.12400039285421,0.282537996768951,295.668548583984,8
Megaptera,novaeangliae,-67.75,164.25,3616:374:3,2443,-1.75129103660583,0.503014981746674,33.9640960693359,34.7098388671875,2.22099991515279,0.760991990566254,245.399963378906,81
Megaptera,novaeangliae,-67.75,166.75,3616:476:4,1608,-1.74632894992828,1.4557980298996,33.9615745544434,34.7245101928711,1.76799995824695,0.754218995571136,244.073455810547,123
Megaptera,novaeangliae,-67.75,168.25,3616:478:3,1865,-1.72737395763397,0.741071999073029,33.9505424499512,34.7084159851074,1.56899995636195,0.730697989463806,243.983963012695,180
Megaptera,novaeangliae,-67.75,168.75,3616:478:4,2072,-1.71613895893097,0.875702977180481,33.9464111328125,34.7109870910645,1.48300000000745,0.720556020736694,243.545593261719,200
Megaptera,novaeangliae,-67.75,-67.75,5606:477:4,275,-1.04034399986267,-1.11430096626282,32.6511192321777,33.5507659912109,8.62700026482344,0.172184005379677,370.785919189453,9
Megaptera,novaeangliae,-67.75,-68.25,5606:478:3,339,-1.00691294670105,-0.64335298538208,32.669490814209,34.7093963623047,8.35699960589409,0.181685000658035,208.022979736328,10
Megaptera,novaeangliae,-67.75,-68.75,5606:478:4,263,-0.984279870986938,-0.814156651496887,32.7528991699219,34.3870086669922,6.08469732105732,0.307644128799438,246.520538330078,6
Megaptera,novaeangliae,-67.75,-69.75,5606:479:4,426,-0.937628984451294,-0.702655017375946,32.7931137084961,34.6750106811523,4.5420001260936305,0.358058005571365,208.500045776367,42
Megaptera,novaeangliae,-67.75,-70.75,5607:370:4,630,-0.95447701215744,0.312943994998932,33.1242141723633,34.7555046081543,2.56699998863041,0.398330986499786,208.840759277344,84
Megaptera,novaeangliae,-67.75,-71.75,5607:371:4,345,-0.946462988853455,-0.408140987157822,33.1875648498535,34.7206001281738,2.06499989144504,0.402410000562668,209.587661743164,126
Megaptera,novaeangliae,-67.75,-72.75,5607:372:4,606,-0.983283996582031,0.0960870012640953,33.2409591674805,34.745044708252,1.85600004624575,0.402390986680984,211.236251831055,140
Megaptera,novaeangliae,-67.75,-73.75,5607:373:4,441,-1.02929496765137,0.393914997577667,33.3379707336426,34.7488975524902,1.63700000848621,0.401282995939255,211.29850769043,159
Megaptera,novaeangliae,-67.25,70.25,3607:370:1,274,-1.67753994464874,-1.59639298915863,34.1335945129395,34.4756660461426,2.23099999129772,0.610554993152618,316.155090332031,81
Megaptera,novaeangliae,-67.25,74.25,3607:374:1,447,-1.56263399124146,-0.0713530033826828,34.0142974853516,34.546573638916,1.85799994505942,0.628211975097656,255.143356323242,221
Megaptera,novaeangliae,-67.25,163.75,3616:373:2,1910,-1.69290602207184,0.489928007125854,33.9259223937988,34.7090950012207,2.34499992802739,0.69915097951889,244.661270141602,65
Megaptera,novaeangliae,-67.25,164.75,3616:374:2,779,-1.68967795372009,1.55196404457092,33.909854888916,34.7209892272949,2.68299994058907,0.66721498966217,245.258575439453,11
Megaptera,novaeangliae,-67.25,165.25,3616:475:1,1766,-1.69495403766632,0.59342497587204,33.8979110717773,34.7099266052246,2.40999995730817,0.683182001113892,243.646896362305,43
Megaptera,novaeangliae,-67.25,166.25,3616:476:1,2087,-1.69653797149658,0.777845978736877,33.9045600891113,34.7090225219727,2.0089999306947,0.698108971118927,242.763824462891,86
Megaptera,novaeangliae,-67.25,167.25,3616:477:1,2032,-1.6875159740448,1.26592695713043,33.9322395324707,34.7286643981934,1.7559999832883502,0.697367012500763,242.955856323242,129
Megaptera,novaeangliae,-67.25,-75.75,5607:475:2,3444,-0.907239973545074,0.33653798699379,33.4794425964355,34.7031936645508,2.02000001445413,0.327271014451981,215.463806152344,257
Megaptera,novaeangliae,-67.25,66.25,3606:476:1,400,-1.62638902664185,-1.49026298522949,34.114818572998,34.4910697937012,2.56799999624491,0.57165002822876,310.716522216797,77
Megaptera,novaeangliae,-66.75,59.75,3605:469:4,673,-1.66971004009247,1.07921695709229,34.0683708190918,34.688907623291,1.78900000173599,0.670144975185394,245.331985473633,78
Megaptera,novaeangliae,-66.75,60.25,3606:360:3,830,-1.64484298229218,0.938835024833679,34.0718269348145,34.6840629577637,1.7729999963194099,0.660924017429352,248.673797607422,78
