Mapping parameters for Orcinus orca (killer whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 2396)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Orcinus,orca,-68.75,76.75,3607:486:4,683,-1.38509404659271,0.968786001205444,33.9601821899414,34.6817016601563,2.94700008817017,0.535781025886536,232.684112548828,60
Orcinus,orca,-68.75,77.25,3607:487:3,589,-1.43070805072784,-1.13898694515228,33.823600769043,34.5178833007813,4.26199985668063,0.439916014671326,288.698699951172,40
Orcinus,orca,-68.75,77.75,3607:487:4,127,-1.48244500160217,-1.1961590051651,33.7853927612305,34.506175994873,5.70000009611249,0.280288994312286,293.170806884766,10
Orcinus,orca,-68.75,-90.75,5609:380:4,1729,-1.31055998802185,1.77747297286987,33.29248046875,34.704418182373,2.38600000739098,0.409583002328873,227.181900024414,9
Orcinus,orca,-68.25,76.75,3607:486:2,552,-1.4384880065918,-1.08154404163361,34.0675354003906,34.509449005127,2.21400009468198,0.547087013721466,286.603576660156,82
Orcinus,orca,-68.25,77.25,3607:487:1,567,-1.46063899993896,-1.07783699035645,33.9746704101563,34.5073394775391,2.8099999763071497,0.533254981040955,286.589508056641,62
Orcinus,orca,-68.25,77.75,3607:487:2,433,-1.49194097518921,-1.09690403938293,33.8551063537598,34.5113410949707,3.9599998854100704,0.508957028388977,287.356079101563,41
Orcinus,orca,-68.25,78.25,3607:488:1,213,-1.52673494815826,-1.55091595649719,33.720573425293,34.3634376525879,5.82600012421608,0.413727998733521,342.501556396484,9
Orcinus,orca,-68.25,-69.25,5606:489:1,374,-0.972393989562988,-0.671644985675812,32.7547912597656,34.6868057250977,3.54800000786781,0.444756001234055,207.247207641602,76
Orcinus,orca,-68.25,-90.25,5609:380:1,3965,-1.17816197872162,0.197631999850273,33.3313102722168,34.7073097229004,2.19999998807907,0.374300986528397,218.426177978516,76
