Mapping parameters for Stenella coeruleoalba (striped dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 2994)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Stenella,coeruleoalba,-34.25,126.75,3312:246:2,3674,17.521879196167,1.02567505836487,35.5650482177734,34.7284164428711,6.47700019180775,0,200.283615112305,237
Stenella,coeruleoalba,-34.25,150.75,3315:140:2,11,20.0122375488281,20.5275497436523,35.5968055725098,35.5807037353516,19.4278284907341,0,225.160308837891,2
Stenella,coeruleoalba,-34.25,151.25,3315:141:1,181,20.5473594665527,17.2316284179688,35.5556869506836,35.4919967651367,19.0399996936321,0,195.749328613281,21
Stenella,coeruleoalba,-33.75,18.25,3301:238:3,96,15.9927167892456,14.2455110549927,34.1521415710449,35.233283996582,58.6620010435581,0,198.148971557617,21
Stenella,coeruleoalba,-33.75,23.75,3302:133:4,52,18.4881439208984,15.8555126190186,35.3928527832031,35.3366928100586,41.8196022510529,0,192.863327026367,1
Stenella,coeruleoalba,-33.75,25.75,3302:235:4,11,18.9903545379639,19.5476131439209,35.4030494689941,35.4139671325684,48.0439998209476,0,217.993179321289,10
Stenella,coeruleoalba,-33.75,115.25,3311:235:3,55,19.851505279541,20.2288608551025,35.5621032714844,35.7101898193359,4.78646392002702,0,226.489593505859,6
Stenella,coeruleoalba,-33.75,151.25,3315:131:3,38,20.3722381591797,20.9656944274902,35.5346717834473,35.5825614929199,19.7570007294416,0,223.944488525391,12
Stenella,coeruleoalba,-33.75,-78.75,5307:238:4,1732,16.6370010375977,2.86713194847107,34.3366661071777,34.5502471923828,4.2659998871386104,0,124.447402954102,23
Stenella,coeruleoalba,-33.25,18.25,3301:238:1,34,15.7335042953491,14.5488262176514,34.6242179870605,35.2040214538574,62.4049864709377,0,203.765060424805,10
